sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x1        | Inlet Temp       | 20.000     | degrees C    | ok     | na         | na         | na         | 46.000   | 48.000     | na         | 2.000  | 2.000 
0x2        | Outlet Temp      | 35.000     | degrees C    | ok     | na         | na         | na         | 75.000   | na         | na         | 2.000  | 2.000 
0x4        | CPU1 Core Rem    | 36.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0x5        | CPU2 Core Rem    | 38.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xe        | CPU1 MEM Temp    | 28.000     | degrees C    | ok     | na         | na         | na         | 95.000   | na         | na         | 2.000  | 2.000 
0xf        | CPU2 MEM Temp    | 29.000     | degrees C    | ok     | na         | na         | na         | 95.000   | na         | na         | 2.000  | 2.000 
0x25       | Power            | 558.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x3        | Disks Temp       | 24.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x6        | HDD MAX Temp     | 24.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x7        | SSD MAX Temp     | 29.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x8        | NIC OM Temp      | 28.000     | degrees C    | ok     | na         | na         | na         | 75.000   | na         | na         | 2.000  | 2.000 
0x9        | 1711 Core Temp   | 44.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xa        | RAID Temp        | 44.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xb        | Raid BBU Temp    | 23.000     | degrees C    | ok     | na         | na         | na         | 60.000   | na         | na         | 2.000  | 2.000 
0xc        | NIC1 Temp        | 35.000     | degrees C    | ok     | na         | na         | na         | 100.000  | na         | na         | 0.000  | 0.000 
0xd        | NIC2 Temp        | 37.000     | degrees C    | ok     | na         | na         | na         | 100.000  | na         | na         | 0.000  | 0.000 
0x21       | Power1           | 300.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x10       | PS1 VIN          | 216.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
