Expander Information:
Name                : Expander1(RAID Card1)

PHY error statistics:
PHY#,     Timestamp,               InvalidDwordCount,       LossDwordSynchCount,     PhyResetProblemCount,    RunningDisparityErrorCount
0,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
0,        2025-07-17 08:44:44,     20,                      1,                       0,                       21,
1,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
1,        2025-07-16 07:43:42,     13,                      1,                       0,                       12,
1,        2025-07-17 07:44:43,     23,                      2,                       0,                       22,
2,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
3,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
4,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
5,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
6,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
7,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
8,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
8,        2025-07-17 06:44:41,     13,                      1,                       0,                       12,
9,        2025-06-30 06:01:08,     0,                       0,                       0,                       0,
9,        2025-07-17 07:14:35,     22,                      1,                       0,                       23,
10,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
10,       2025-07-17 07:14:35,     22,                      1,                       0,                       23,
11,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
12,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
13,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
14,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
15,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
16,       2025-06-30 06:01:08,     24,                      0,                       0,                       24,
17,       2025-06-30 06:01:08,     28,                      0,                       0,                       28,
18,       2025-06-30 06:01:08,     25,                      0,                       0,                       25,
19,       2025-06-30 06:01:08,     24,                      0,                       0,                       24,
20,       2025-06-30 06:01:08,     19,                      0,                       0,                       19,
21,       2025-06-30 06:01:08,     20,                      0,                       0,                       20,
22,       2025-06-30 06:01:08,     20,                      0,                       0,                       20,
22,       2025-07-16 14:17:26,     0,                       0,                       0,                       0,
22,       2025-07-16 14:44:00,     20,                      0,                       0,                       20,
23,       2025-06-30 06:01:08,     21,                      0,                       0,                       21,
23,       2025-07-16 14:17:26,     0,                       0,                       0,                       0,
23,       2025-07-16 14:44:00,     21,                      0,                       0,                       21,
24,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
25,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
26,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
27,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
28,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
29,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
30,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
31,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
32,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
33,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
34,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
35,       2025-06-30 06:01:08,     0,                       0,                       0,                       0,
